id,course,day,word,pos,answer,ipa,example,audio
21,foundation,2,Replace,v,thay thế,/rɪˈpleɪs/,The new design will eventually replace all existing models.,
22,foundation,2,Store,n,cửa hàng,/stɔːr/,He owns a health food store at the end of the street.,
23,foundation,2,Revise,v,xem lại,/rɪˈvaɪz/,I can see I will have to revise my opinions of his abilities now.,
24,foundation,2,Proof,n,bằng chứng,/pruːf/,These results are a further proof of his outstanding ability.,
25,foundation,3,Match,n,trận đấu,/mætʃ/,The football match was so exciting.,
26,foundation,3,Profile,n,"hồ sơ, lý lịch",/ˈprəʊfaɪl/,You can update your Facebook profile.,
27,foundation,3,Submit,v,"nộp, đệ trình",/səbˈmɪt/,Completed projects must be submitted by 10 March.,
28,foundation,3,Candidate,n,ứng viên,/ˈkændɪdət/,He stood as a candidate in the local elections.,
29,foundation,3,Present,v,trình bày,/ˈpreznt/,He presented the question very clearly.,
30,foundation,3,Hire,v,"thuê, mướn",/ˈhaɪə(r)/,She was hired three years ago.,
31,foundation,3,Reject,v,từ chối,/rɪˈdʒekt/,The prime minister rejected any idea of reforming the system.,
32,foundation,3,Group,n,nhóm,/gruːp/,She asked her students to get into groups of four.,
33,foundation,3,Basis,n,"nền tảng, cơ sở",/ˈbeɪsɪs/,This article will form the basis for our discussion.,
34,foundation,3,Benefit,n,lợi ích,/ˈbenɪfɪt/,I've had the benefit of a good education.,
35,foundation,3,Wage,n,tiền công (lương theo giờ),/weɪdʒ/,Tax and insurance are deducted from your wages.,
36,foundation,3,Salary,n,lương cố định (theo tháng),/ˈsæləri/,He gets a basic salary plus commission.,
37,foundation,4,Value,n,giá trị,/ˈvæljuː/,Sports cars tend to hold their value well.,
38,foundation,4,Expand,v,mở rộng,/ɪkˈspænd/,They expanded their retail operations during the 1980s.,
39,foundation,4,Goods,n,hàng hóa,/ɡʊdz/,"They sell leather goods such as wallets, purses.",
40,foundation,4,Strict,adj,nghiêm ngặt,/strɪkt/,She's very strict about things like homework.,
41,foundation,4,Trend,n,xu hướng,/trend/,There's been a downward/upward trend in sales in the last few years.,
42,foundation,4,Smooth,adj,"suôn sẻ, trôi chảy, trơn tru",/smuːð/,We had a very smooth flight with no turbulence at all.,
43,foundation,4,Source,n,"nguồn, nguyên nhân",/sɔːrs/,Your local library will be a useful source of information.,
44,foundation,4,Stationery,n,văn phòng phẩm,/ˈsteɪʃənəri/,We need to order more stationery for our office.,
45,foundation,4,Fulfill,v,"đáp ứng, hoàn thành",/fʊlˈfɪl/,No candidate fulfills all the requirements for this position.,
46,foundation,4,Ship,v,vận chuyển,/ʃɪp/,The company ships its goods all over the world.,
47,foundation,4,Bill,n/v,hóa đơn,/bɪl/,You will be billed monthly for the service.,
48,foundation,4,Invoice,n,hóa đơn,/ˈɪnvɔɪs/,Invoices must be submitted by the 24th of every month.,
49,foundation,5,Customer,n,khách hàng,/ˈkʌstəmər/,The store held a special sale for its regular customers.,
50,foundation,5,Discount,n/v,giảm giá,/ˈdɪskaʊnt/,The store owner discounted ten percent from the packages of broken cookies.,
51,foundation,5,Efficient,adj,có hiệu quả,/ɪˈfɪʃnt/,He is an efficient worker.,
52,foundation,5,Terms,n,điều khoản,/tɜːrmz/,They failed to agree on the terms of a settlement.,
53,foundation,5,Run,v,điều hành,/rʌn/,My grandfather ran a shoe business.,
54,foundation,5,Verify,v,"xác nhận, xác minh",/ˈverɪfaɪ/,The waiter verified our bill by checking it with a calculator.,
55,foundation,5,Client,n,"khách hàng, thân chủ",/ˈklaɪənt/,The lawyer met with her client to talk about their first day in court.,
56,foundation,5,Commit,v,"cam kết, thực hiện",/kəˈmɪt/,She committed herself to helping the poor.,
57,foundation,5,Fund,n,quỹ,/fʌnd/,She is saving for her retirement fund.,
58,foundation,5,Deadline,n,"hạn chót, hạn cuối",/ˈdedlaɪn/,I am not going to finish this report by tomorrow's deadline.,
59,foundation,5,Fill out,v,điền đầy đủ,/fɪl aʊt/,Please fill out the attached form and send it back to me.,
60,foundation,5,Refund,n/v,hoàn trả tiền,"/ˈriːfʌnd/, /rɪˈfʌnd/",The store will refund your money if you are not satisfied.,
61,foundation,6,Detail,n,chi tiết,/ˈdiːteɪl/,"He stood still, absorbing every detail of the street.",
62,foundation,6,Level,n,"cấp, trình độ",/ˈlevl/,She is at a beginner level.,
63,foundation,6,Focus,v,tập trung,/ˈfəʊkəs/,The discussion focused on three main problems.,
64,foundation,6,Decade,n,thập niên,/ˈdekeɪd/,"Hines has spent the last decade in Austin, Texas.",
65,foundation,6,Common,adj,"chung, phổ biến, thông thường",/ˈkɒmən/,Jackson is a common English name.,
66,foundation,6,List,n/v,danh sách; liệt kê,/lɪst/,Did you put bread on the shopping list?,
67,foundation,6,Pick up,v,"đón, lấy",,She went over to the crying child and picked her up.,
68,foundation,6,Site,n,"địa điểm, vị trí",/saɪt/,A site has been chosen for the new school.,
69,foundation,6,Valid,adj,"có giá trị, có hiệu lực",/ˈvælɪd/,These discounts are valid for travel within the continental United States.,
70,foundation,6,Collect,v,"thu thập, sưu tập",/kəˈlekt/,Samples were collected from over 200 patients.,
71,foundation,6,Schedule,n,"lịch trình, kế hoạch",/ˈskedʒuːl/,At this stage everything is going according to schedule.,
72,foundation,6,Record,v,ghi lại,/rɪˈkɔːd/,You should record all your expenses during your trip.,
73,foundation,7,Overview,n,tổng quan,/ˈəʊvəvjuː/,I'll give you a brief overview of the job,
74,foundation,7,Control,v,kiểm soát,/kənˈtrəʊl/,You're going to have to learn to control your temper,
75,foundation,7,Sample,n,"mẫu, vật mẫu, hàng mẫu",/ˈsɑːmpl/,Please bring some samples of your work to the interview,
76,foundation,7,Volunteer,v,tình nguyện,/ˌvɒlənˈtɪə(r)/,I volunteered myself for the position of Health and Safety Representative,
77,foundation,7,Give,v,"đưa ra, đưa cho, ban",/ɡɪv/,Can you give any evidence to support your claim?,
78,foundation,7,Look,v,"nhìn, coi",/lʊk/,Be careful to look both ways when you cross the road,
79,foundation,7,Use,v,sử dụng,/juːz/,"If we clear out the spare room, you can use it as a study",
80,foundation,7,Find,v,"tìm kiếm, tìm thấy",/faɪnd/,"When the guard came to clip my train ticket, I couldn't find it",
81,foundation,7,Want,v,muốn,/wɒnt/,They want to elevate the status of teachers,
82,foundation,7,Need,v,"cần, có nhu cầu",/niːd/,He needs some climbing boots,
83,foundation,7,Become,v,"trở thành, trở nên",/bɪˈkʌm/,People can become infected after eating raw or undercooked meat,
84,foundation,7,Leave,v,"rời bỏ, bỏ đi",/liːv/,I didn't leave the office until eight o'clock last night,
85,foundation,8,Work,v,làm việc,/wɜːk/,She works for an engineering company.,
86,foundation,8,Seem,v,dường như,/siːm/,It seemed like a good idea at the time.,
87,foundation,8,Show,v,"cho thấy, thể hiện",/ʃəʊ/,The figures clearly show that her claims are false.,
88,foundation,8,Try,v,"cố gắng, thử",/traɪ/,Don’t try to do it too quickly.,
89,foundation,8,Call,v,gọi điện,/kɔːl/,He called me yesterday but I didn’t answer.,
90,foundation,8,Keep,v,"giữ, duy trì",/kiːp/,She had trouble keeping her balance.,
91,foundation,8,Provide,v,cung cấp,/prəˈvaɪd/,The hospital has a commitment to provide the best possible medical care.,
92,foundation,8,Bring,v,mang,/brɪŋ/,Don’t forget to bring your books with you.,
93,foundation,8,Follow,v,"theo dõi, đi theo",/ˈfɒləʊ/,Follow me please. I’ll show you the way.,
94,foundation,8,Write,v,viết,/raɪt/,Write your name at the top of the paper.,
95,foundation,8,Start = begin,v,bắt đầu,/stɑːt/,It’s time you started on your homework.,
96,foundation,8,Tell,v,"nói, kể",/tel/,Tell me where you live.,
97,foundation,9,Mainly,adv,chủ yếu,/ˈmeɪnli/,They eat mainly fruit and nuts.,
98,foundation,9,Believe,v,tin tưởng,/bɪˈliːv/,"Believe me, she's not right for you.",
99,foundation,9,Allow,v,cho phép,/əˈlaʊ/,His parents won't allow him to stay out late.,
100,foundation,9,Carry,v,"mang, vác",/ˈkæri/,She carried her baby in her arms.,
101,foundation,9,Stand,v,đứng,/stænd/,She was too weak to stand.,
102,foundation,9,Appear,v,xuất hiện,/əˈpɪər/,She regularly appears on TV.,
103,foundation,9,Order,v,"gọi món, đặt hàng",/ˈɔːrdər/,I ordered a beer and a sandwich.,
104,foundation,9,Sit,v,ngồi,/sɪt/,She always sits in that chair.,
105,foundation,9,Expect,v,mong đợi,/ɪkˈspekt/,We were expecting him yesterday.,
106,foundation,9,Offer,v,"đề nghị, cung cấp",/ˈɔːfər/,They decided to offer the job to Jo.,
107,foundation,9,Consider,v,cân nhắc,/kənˈsɪdər/,She considered her options.,
108,foundation,9,Suggest,v,gợi ý,/səˈdʒest/,I suggest (that) we go out to eat.,
109,foundation,10,Read,v,đọc,/riːd/,The teacher reads one chapter of a book every afternoon.,
110,foundation,10,Continue,v,tiếp tục,/kənˈtɪnjuː/,"The runner fell, but he got back up and continued the race.",
111,foundation,10,Change,v,thay đổi,/tʃeɪndʒ/,He changed his story when he told it to us.,
112,foundation,10,Remain,v,"giữ nguyên, còn lại",/rɪˈmeɪn/,"After a week in the hospital, the patient remains very ill.",
113,foundation,10,Remember,v,ghi nhớ,/rɪˈmembər/,I will always remember my seventh birthday party.,
114,foundation,10,Buy,v,mua,/baɪ/,She saved her allowance and bought a bicycle.,
115,foundation,10,Speak,v,nói,/spiːk/,He speaks German and English.,
116,foundation,10,Send,v,gửi,/send/,I will send you a letter.,
117,foundation,10,Receive,v,nhận,/rɪˈsiːv/,He received many gifts while he was in the hospital.,
118,foundation,10,Decide,v,quyết định,/dɪˈsaɪd/,He decided not to run away from home.,
119,foundation,10,Understand,v,hiểu,/ˌʌndərˈstænd/,Do you understand what you're reading?,
120,foundation,11,Agree,v,"đồng ý, tán thành",/əˈɡriː/,He agreed with them about the need for change.,
121,foundation,11,Describe,v,miêu tả,/dɪˈskraɪb/,The book describes life in the 19th century.,
122,foundation,11,Develop,v,phát triển,/dɪˈveləp/,He wants to develop his English skills.,
123,foundation,11,Open,v,mở,/ˈəʊpən/,Mr Chen opened the car door for his wife.,
124,foundation,11,Build,v,xây dựng,/bɪld/,They have permission to build 200 new houses.,
125,foundation,11,Spend,v,"tiêu, chi tiêu",/spend/,She spent $100 on a new dress.,
126,foundation,11,Return,v,"trở lại, trở về",/rɪˈtɜːrn/,I returned from work to play my game.,
127,foundation,11,Accept,v,chấp nhận,/əkˈsept/,He asked me to marry him and I accepted.,
128,foundation,11,Create,v,"tạo nên, tạo ra",/kriˈeɪt/,The government plans to create more jobs for young people.,
129,foundation,11,Watch,v,"nhìn, quan sát",/wɒtʃ/,We watched to see what would happen next.,
130,foundation,11,Waiter,n,bồi bàn,/ˈweɪtə(r)/,I'll ask the waiter for the bill.,
131,foundation,11,Explain,v,giải thích,/ɪkˈspleɪn/,Can you explain how the email system works?,
132,foundation,12,Support,v,"ủng hộ, hỗ trợ",/səˈpɔːt/,"If you raise this problem at the meeting, I'll support you.",
133,foundation,12,Contain,v,"chứa, bao gồm",/kənˈteɪn/,This drink doesn't contain any alcohol.,
134,foundation,12,Reduce,v,"cắt giảm, giảm thiểu",/rɪˈdjuːs/,Giving up smoking reduces the risk of heart disease.,
135,foundation,12,Establish,v,"thiết lập, thành lập",/ɪˈstæblɪʃ/,The committee was established in 1912.,
136,foundation,12,Achieve,v,đạt được,/əˈtʃiːv/,They could not achieve their target of less than 3% inflation.,
137,foundation,12,Choose,v,chọn,/tʃuːz/,There are plenty of restaurants to choose from.,
138,foundation,12,Serve,v,phục vụ,/sɜːv/,They served a wonderful meal to more than fifty people.,
139,foundation,12,Join,v,tham gia,/dʒɔɪn/,She joined the company three months ago.,
140,foundation,12,Represent,v,"thuyết trình, trình bày, đại diện",/ˌreprɪˈzent/,She will represent her ideas at the meeting.,
141,foundation,12,Discuss,v,"thảo luận, bàn bạc",/dɪˈskʌs/,I'm not prepared to discuss this on the phone.,
142,foundation,12,Prove,v,chứng minh,/pruːv/,They hope this new evidence will prove her innocence.,
143,foundation,13,catch,v,"bắt, nắm lấy",/kætʃ/,The dog caught the stick in its mouth.,
144,foundation,13,enjoy,v,"tận hưởng, thích thú",/ɪnˈdʒɔɪ/,We thoroughly enjoyed our time in New York.,
145,foundation,13,introduce,v,giới thiệu,/ˌɪntrəˈdjuːs/,He introduced me to a Greek girl at the party.,
146,foundation,13,enter,v,đi vào,/ˈentə(r)/,Someone entered the room behind me.,
147,foundation,13,project,n,dự án,/ˈprɒdʒekt/,He set up a project to computerize the library system.,
148,foundation,13,arrive,v,đến,/əˈraɪv/,I'll wait until they arrive.,
149,foundation,13,ensure,v,bảo đảm,/ɪnˈʃʊə(r)/,Please ensure (that) all lights are switched off.,
150,foundation,13,point,n,điểm số,/pɔɪnt/,Australia finished 20 points ahead.,
151,foundation,13,relate,v,liên quan,/rɪˈleɪt/,"In the future, salary increases will be related to productivity.",
152,foundation,13,affect,v,ảnh hưởng,/əˈfekt/,The weather can affect our plans.,
153,foundation,13,manage,v,quản lý,/ˈmænɪdʒ/,My dad manages a factory in Hanoi.,
154,foundation,13,plan,n,kế hoạch,/plæn/,Do you have any plans for the summer?,
155,foundation,14,refer,v,"tham khảo, nhắc đến",/rɪˈfɜːr/,This paragraph refers to the events of last year.,
156,foundation,14,forget,v,quên,/fəˈɡet/,I forget how much they paid for it.,
157,foundation,14,indicate,v,chỉ ra,/ˈɪndɪkeɪt/,Our survey indicates that one in four children is bullied at school.,
158,foundation,14,maintain,v,duy trì,/meɪnˈteɪn/,The two countries have always maintained close relations.,
159,foundation,14,publish,v,xuất bản,/ˈpʌblɪʃ/,The first edition was published in 2007.,
160,foundation,14,suffer,v,trải qua,/ˈsʌfə(r)/,I suffered a headache yesterday.,
161,foundation,14,avoid,v,tránh,/əˈvɔɪd/,I left early to avoid the rush hour.,
162,foundation,14,express,v,"diễn tả, biểu lộ",/ɪkˈspres/,Teachers have expressed concern about the changes.,
163,foundation,14,suppose,v,cho rằng,/səˈpəʊz/,"Prices will go up, I suppose.",
164,foundation,14,finish,v,kết thúc,/ˈfɪnɪʃ/,The play finished at 10.30.,
165,foundation,15,determine,v,quyết tâm,/dɪˈtɜːmɪn/,They determined to start early.,
166,foundation,15,design,v,thiết kế,/dɪˈzaɪn/,He designed and built his own house.,
167,foundation,15,save,v,"tiết kiệm, lưu, bảo vệ",/seɪv/,I've saved almost $100 so far.,
168,foundation,15,share,v,chia sẻ,/ʃeə(r)/,We shared the pizza between the four of us.,
169,foundation,15,control,v,điều khiển,/kənˈtrəʊl/,By the age of 21 he controlled the company.,
170,foundation,15,remove,v,loại bỏ,/rɪˈmuːv/,It was impossible to remove the stain from the tablecloth.,
171,foundation,15,throw,v,"ném, quăng",/θrəʊ/,She threw the ball up and caught it again.,
172,foundation,15,visit,v,thăm,/ˈvɪzɪt/,She went to visit relatives in Wales.,
173,foundation,15,exist,v,tồn tại,/ɪɡˈzɪst/,Few of these monkeys still exist in the wild.,
174,foundation,15,encourage,v,động viên,/ɪnˈkʌrɪdʒ/,Banks actively encouraged people to borrow money.,
175,foundation,15,force,v,"ép buộc, bắt ép",/fɔːs/,The President was forced into resigning.,
176,foundation,15,reflect,v,phản chiếu,/rɪˈflekt/,His face was reflected in the mirror.,
177,foundation,16,admit,v,thừa nhận,/ədˈmɪt/,He admitted all his mistakes.,
178,foundation,16,assume,v,cho rằng,/əˈsjuːm/,I had assumed him to be a Belgian.,
179,foundation,16,prepare,v,"chuẩn bị, sửa soạn",/prɪˈpeə(r)/,A hotel room is being prepared for them.,
180,foundation,16,replace,v,thay thế,/rɪˈpleɪs/,The new design will eventually replace all existing models.,
181,foundation,16,mention,v,"nói đến, đề cập",/ˈmenʃn/,Nobody mentioned anything to me about it.,
182,foundation,16,flight,n,chuyến bay,/flaɪt/,We met on a flight from London to Paris.,
183,foundation,16,intend,v,có ý định,/ɪnˈtend/,We intend that production will start next month.,
184,foundation,16,prevent,v,"ngăn cản, ngăn chặn",/prɪˈvent/,The government took steps to prevent a scandal.,
185,foundation,16,refuse,v,từ chối,/rɪˈfjuːz/,She refused to accept that there was a problem.,
186,foundation,16,reveal,v,"bộc lộ, để lộ ra",/rɪˈviːl/,The doctors did not reveal the truth to him.,
187,foundation,16,answer,v,trả lời,/ˈɑːnsə(r)/,"I repeated the question, but she didn't answer.",
188,foundation,16,operate,v,vận hành,/ˈɒpəreɪt/,What skills are needed to operate this machinery?,
189,foundation,17,depend,v,phụ thuộc,/dɪˈpend/,"Starting salary varies from £26,000 to £30,500, depending on experience.",
190,foundation,17,regular,adj,"bình thường, thường xuyên",/ˈreɡjələ(r)/,Do you take regular exercise?,
191,foundation,17,check,v,kiểm tra,/tʃek/,Check the container for cracks or leaks.,
192,foundation,17,complete,adj,"hoàn chỉnh, hoàn thành",/kəmˈpliːt/,Work on the office building will be complete at the end of the year.,
193,foundation,17,extend,v,mở rộng,/ɪkˈstend/,The show has been extended for another six weeks.,
194,foundation,17,notice,n,"chú ý, thông báo",/ˈnəʊtɪs/,There was a notice on the board saying the class had been cancelled.,
195,foundation,17,attend,v,chú ý,/əˈtend/,We'd like as many people as possible to attend.,
196,foundation,17,gain,v,đạt được,/ɡeɪn/,The country gained its independence ten years ago.,
197,foundation,17,information,n,thông tin,/ˌɪnfəˈmeɪʃn/,"For further information on the diet, write to us at this address.",
198,foundation,17,location,n,"địa điểm, vị trí",/ləʊˈkeɪʃn/,What is the exact location of the ship?,
199,foundation,17,photocopier,n,máy photocopy,/ˈfəʊtəʊkɒpiə(r)/,When was the photocopier invented?,
200,foundation,17,along,prep,dọc theo,/əˈlɒŋ/,They walked slowly along the road.,
201,foundation,18,street,n,đường phố,/striːt/,The bank is just across the street.,
202,foundation,18,conduct,v,tiến hành,/kənˈdʌkt/,They conducted a campaign for a shorter working week.,
203,foundation,18,pour,v,đổ,/pɔː(r)/,She poured boiling water down the sink.,
204,foundation,18,tire,v,mệt mỏi,/ˈtaɪə(r)/,Her legs were beginning to tire.,
205,foundation,18,alone,adj,một mình,/əˈləʊn/,I don't like going out alone at night.,
206,foundation,18,wear,v,mặc,/weə(r)/,She was wearing a new coat.,
207,foundation,18,type,n,loại,/taɪp/,There are three main types of contract(s).,
208,foundation,18,reach,v,chạm,/riːtʃ/,She reached inside her bag for a pen.,
209,foundation,18,relax,v,"nghỉ ngơi, thư giãn",/rɪˈlæks/,Just relax and enjoy the movie.,
210,foundation,18,outdoors,adv,bên ngoài,/ˌaʊtˈdɔːz/,The rain prevented them from eating outdoors.,
211,foundation,18,update,v,cập nhật,/ˌʌpˈdeɪt/,It's about time we updated our software.,
212,foundation,18,stare,v,nhìn chằm chằm,/steə(r)/,She stared at the screen for a long time.,
214,toeic1,1,exceed,v,vượt quá,[ik'si:d],exceed the budget for the construction project,
215,toeic1,1,finalize,v,hoàn thiện,['fainəlaiz],finalize plans for the reconstruction of the lobby,
216,toeic1,1,present,v,trao giải,[pri'zent],present an award to the winner,
217,toeic1,1,disrupt,v,làm gián đoạn,[dis'rʌpt],disrupt service temporarily,
218,toeic1,1,argue,v,tranh cãi,['ɑ:gju:],argue in favor of the new policy,
219,toeic1,1,assess,v,"đánh giá, định giá",[ə'ses],assess the value of the jewelry,
220,toeic1,1,divert,v,"điều hướng, chuyển hướng",[dai'və:t],divert the phone call to another line,
221,toeic1,1,establish,v,thành lập,[is'tæbliʃ],establish an organization for local farmers,
222,toeic1,1,suspect,v,nghi ngờ,['sʌspekt],suspect someone of cheating on an exam,
223,toeic1,1,expand,v,mở rộng,[iks'pænd],expand the business into Europe,
224,toeic1,1,enclose,v,gửi kèm,[in'klouz],enclose the application form with the letter,
225,toeic1,1,verify,v,xác minh,['verifai],verify the validity of a license,
226,toeic1,1,omit,v,bỏ qua,[o'mit],omit the instructions and begin the presentation,
227,toeic1,1,capture,v,"chiếm được, giành được",['kæptʃə],capture the majority of the votes,
228,toeic1,1,cite,v,trích dẫn,[sait],cite the findings from a recent study,
229,toeic1,1,appoint,v,bổ nhiệm,[ə'point],appoint a new head of security,
230,toeic1,1,demonstrate,v,"minh họa, giải thích",['demənstreit],demonstrate a technique to trainees,
231,toeic1,1,cancel,v,hủy,['kænsəl],cancel the magazine subscription,
232,toeic1,1,rephrase,v,nói lại bằng cách khác,"[,ri:'freiz]",rephrase the question for clarity,
233,toeic1,1,suspend,v,"tạm dừng, đình chỉ",[sə'spend],suspend telephone service for a month,
234,toeic1,2,remain,v,"ở lại, giữ nguyên vị trí",[ri'mein],remain seated until the plane comes to a full stop,
235,toeic1,2,address,v,chú tâm vào việc gì,[ə'dres],address any concerns that arise,
236,toeic1,2,accelerate,v,"tăng nhanh hơn, đẩy nhanh",[ək'seləreit],accelerate the growth of the business with investment,
237,toeic1,2,commence,v,bắt đầu,[kə'mens],wait for the ceremony to commence,
238,toeic1,2,join,v,tham gia,[dʒɔin],join a trade union,
239,toeic1,2,maximize,v,tối đa hóa,['mæksimaiz],maximize opportunities for publicity,
240,toeic1,2,memorize,v,ghi nhớ,['meməraiz],memorize the entrance code for the store's back door,
241,toeic1,2,prove,v,chứng minh,[pru:v],prove a theory with evidence,
242,toeic1,2,strive,v,cố gắng,[straiv],strive to overcome obstacles,
243,toeic1,2,grant,v,"cấp, ban cho",[grænt],grant access to a database,
244,toeic1,2,recycle,v,tái chế,"[,ri:'saikl]",recycle all metal and cardboard containers,
245,toeic1,2,acquire,v,"có được, đạt được",[ə'kwaiə],acquire additional property to develop,
246,toeic1,2,alert,v,cảnh báo,[ə'lə:t],alert the public about the change,
247,toeic1,2,redeem,v,đổi để lấy sản phẩm/dịch vụ,[ri'di:m],redeem reward points,
248,toeic1,2,endure,v,chịu đựng,[in'djuə],endure a long meeting,
249,toeic1,2,ship,v,vận chuyển hàng hóa,[ʃip],ship an item overseas,
250,toeic1,2,guarantee,v,bảo đảm,"[,gærən'ti:]",guarantee a product's quality,
251,toeic1,2,visualize,v,"hình dung, mường tượng",['viʒuəlaiz],visualize the future of the area’s changing landscape,
252,toeic1,2,purchase,v,mua hàng,['pə:tʃəs],purchase the latest model,
253,toeic1,2,renew,v,gia hạn,[ri'nju:],renew the lease for another year,
254,toeic1,3,deliver,v,giao,[di'livə],deliver the package to the address provided,
255,toeic1,3,expire,v,hết hạn,[iks'paiə],renew a membership that is about to expire,
256,toeic1,3,undergo,v,trải qua,"[,ʌndə'gəu]",undergo a major renovation,
257,toeic1,3,consent,v,đồng ý,[kən'sent],consent to a thorough background check,
258,toeic1,3,assure,v,đảm bảo,[ə'ʃuə],assure clients of the product's quality,
259,toeic1,3,increase,v,tăng,['inkri:s],increase the budget for the new construction project,
260,toeic1,3,indicate,v,"cho biết, chỉ ra",['indikeit],indicate preferences on the form,
261,toeic1,3,rate,v,đánh giá,[reit],rate an experience at a hotel,
262,toeic1,3,reclaim,v,lấy lại,[ri'kleim],reclaim a lost item from the Lost and Found Office,
263,toeic1,3,tolerate,v,"khoan dung, chịu đựng",['tɔləreit],tolerate a moderate amount of risk while investing,
264,toeic1,3,divide,v,chia ra,[di'vaid],divide the participants into groups of four,
265,toeic1,3,affect,v,ảnh hưởng,[ə'fekt],affect national economy positively,
266,toeic1,3,depart,v,"xuất phát, khởi hành",[di'pɑ:t],depart promptly at 7:30 a.m.,
267,toeic1,3,eliminate,v,"xóa bỏ, loại bỏ",[i'limineit],eliminate environmental pollution,
268,toeic1,3,reject,v,"từ chối, bác bỏ",[ri'dʒekt],reject a loan application,
269,toeic1,3,attract,v,thu hút,[ə'trækt],attract many tourists to the area,
270,toeic1,3,classify,v,"phân loại, xếp loại",['klæsifai],classify clothing according to size,
271,toeic1,3,withdraw,v,rút,[wið'drɔ:],withdraw funds from an ATM,
272,toeic1,3,donate,v,"tặng, quyên góp",[dou'neit],donate money to a charitable organization,
273,toeic1,3,support,v,ủng hộ,[sə'pɔ:t],support the construction project,
274,toeic1,4,contract,n,hợp đồng,[kə'trækt],sign a temporary employment contract,
275,toeic1,4,submission,n,"sự đệ trình, sự đề xuất",[səb'miʃn],write a proposal for submission to the board of directors,
276,toeic1,4,shortage,n,sự thiếu,['ʃɔ:tidʒ],deal with a shortage of capital,
277,toeic1,4,capacity,n,"sức chứa, công suất, khả năng",[kə'pæsiti],grow beyond its capacity to supply food,
278,toeic1,4,distribution,n,sự phân phối,"[,distri'bju:ʃn]",supervise distribution of the merchandise,
279,toeic1,4,safety,n,sự an toàn,['seifti],ensure the safety of workers,
280,toeic1,4,facility,n,cơ sở,[fə'siliti],renovate a healthcare facility,
281,toeic1,4,contestant,n,người dự thi,[kən'testənt],introduce this year's contestants for the Bookman Prize,
282,toeic1,4,reputation,n,danh tiếng,"[,repju:'teiʃn]",establish a reputation for reliable service,
283,toeic1,4,excellence,n,sự xuất sắc,['eksələns],aim to achieve excellence,
284,toeic1,4,assignment,n,nhiệm vụ,[ə'sainmənt],work on a major assignment,
285,toeic1,4,proposal,n,sự đề xuất,[prə'pouzəl],accept a project proposal,
286,toeic1,4,entrance,n,lối vào,['entrəns],buy a ticket at the entrance,
287,toeic1,4,negotiator,n,người đàm phán,[ni'gouʃieitə],require a skilled negotiator,
288,toeic1,4,shareholder,n,cổ đông,"['ʃeə,houldə]",meet with shareholders annually,
289,toeic1,4,norm,n,quy tắc,[nɔ:m],go against the norm,
290,toeic1,4,delight,n/v,"sự thích thú, thích thú",[di'lait],watch the city's firework display with delight,
291,toeic1,4,petition,n/v,"sự thỉnh cầu, cầu xin",[pə'tiʃn],submit a petition to change a policy,
292,toeic1,4,request,n/v,yêu cầu,[ri'kwest],make a request for time off,
293,toeic1,4,claim,n/v,yêu cầu,[kleim],file an insurance claim,
294,toeic1,5,maintenance,n,"bảo trì, bảo dưỡng",['meintənəns],conduct maintenance on machinery,
295,toeic1,5,progress,v/n,"sự tiến triển, quy trình",['prougres],provide an update on the assignment's progress,
